t x
0 0.4
0.01562 0.4
0.03125 0.4
0.04688 0.4
0.0625 0.4
0.07812 0.4
0.09375 0.4
0.1094 0.4
0.125 0.4
0.1406 0.4
0.1562 0.4
0.1719 0.4
0.1875 0.4
0.2031 0.4
0.2188 0.4
0.2344 0.4
0.25 0.4
0.2656 0.4
0.2812 0.4
0.2969 0.4
0.3125 0.4
0.3281 0.4
0.3438 0.4
0.3594 0.4
0.375 0.4
0.3906 0.4
0.4062 0.4
0.4219 0.4
0.4375 0.4
0.4531 0.4
0.4688 0.4
0.4844 0.4
0.5 0.4
0.5156 0.4
0.5312 0.4
0.5469 0.4
0.5625 0.4003
0.5781 0.4019
0.5938 0.4089
0.6094 0.4331
0.625 0.4953
0.6406 0.6073
0.6562 0.7333
0.6719 0.8
0.6875 0.8
0.7031 0.8
0.7188 0.8
0.7344 0.8
0.75 0.8
0.7656 0.7997
0.7812 0.7981
0.7969 0.7911
0.8125 0.7669
0.8281 0.7047
0.8438 0.5927
0.8594 0.4667
0.875 0.4
0.8906 0.4
0.9062 0.4
0.9219 0.4
0.9375 0.4
0.9531 0.4
0.9688 0.4
0.9844 0.4
