t x
0 0.8
0.0009766 0.8
0.001953 0.8
0.00293 0.8
0.003906 0.8
0.004883 0.8
0.005859 0.8
0.006836 0.8
0.007812 0.8
0.008789 0.8
0.009766 0.8
0.01074 0.8
0.01172 0.8
0.0127 0.8
0.01367 0.8
0.01465 0.8
0.01562 0.8
0.0166 0.8
0.01758 0.8
0.01855 0.8
0.01953 0.8
0.02051 0.8
0.02148 0.8
0.02246 0.8
0.02344 0.8
0.02441 0.8
0.02539 0.8
0.02637 0.8
0.02734 0.8
0.02832 0.8
0.0293 0.8
0.03027 0.8
0.03125 0.8
0.03223 0.8
0.0332 0.8
0.03418 0.8
0.03516 0.8
0.03613 0.8
0.03711 0.8
0.03809 0.8
0.03906 0.8
0.04004 0.8
0.04102 0.8
0.04199 0.8
0.04297 0.8
0.04395 0.8
0.04492 0.8
0.0459 0.8
0.04688 0.8
0.04785 0.8
0.04883 0.8
0.0498 0.8
0.05078 0.8
0.05176 0.8
0.05273 0.8
0.05371 0.8
0.05469 0.8
0.05566 0.8
0.05664 0.8
0.05762 0.8
0.05859 0.8
0.05957 0.8
0.06055 0.8
0.06152 0.8
0.0625 0.8
0.06348 0.8
0.06445 0.8
0.06543 0.8
0.06641 0.8
0.06738 0.8
0.06836 0.8
0.06934 0.8
0.07031 0.8
0.07129 0.8
0.07227 0.8
0.07324 0.8
0.07422 0.8
0.0752 0.8
0.07617 0.8
0.07715 0.8
0.07812 0.8
0.0791 0.8
0.08008 0.8
0.08105 0.8
0.08203 0.8
0.08301 0.8
0.08398 0.8
0.08496 0.8
0.08594 0.8
0.08691 0.8
0.08789 0.8
0.08887 0.8
0.08984 0.8
0.09082 0.7999
0.0918 0.7997
0.09277 0.799
0.09375 0.7974
0.09473 0.7935
0.0957 0.7851
0.09668 0.7688
0.09766 0.7402
0.09863 0.6956
0.09961 0.6351
0.1006 0.5648
0.1016 0.4967
0.1025 0.4442
0.1035 0.4139
0.1045 0.4022
0.1055 0.4
0.1064 0.4
0.1074 0.4
0.1084 0.4
0.1094 0.4
0.1104 0.4
0.1113 0.4
0.1123 0.4
0.1133 0.4
0.1143 0.4
0.1152 0.4
0.1162 0.4
0.1172 0.4
0.1182 0.4
0.1191 0.4
0.1201 0.4
0.1211 0.4
0.1221 0.4
0.123 0.4
0.124 0.4
0.125 0.4
0.126 0.4
0.127 0.4
0.1279 0.4
0.1289 0.4
0.1299 0.4
0.1309 0.4
0.1318 0.4
0.1328 0.4
0.1338 0.4
0.1348 0.4
0.1357 0.4
0.1367 0.4
0.1377 0.4
0.1387 0.4
0.1396 0.4
0.1406 0.4
0.1416 0.4
0.1426 0.4
0.1436 0.4
0.1445 0.4
0.1455 0.4
0.1465 0.4
0.1475 0.4
0.1484 0.4
0.1494 0.4
0.1504 0.4
0.1514 0.4
0.1523 0.4
0.1533 0.4
0.1543 0.4
0.1553 0.4
0.1562 0.4
0.1572 0.4
0.1582 0.4
0.1592 0.4
0.1602 0.4
0.1611 0.4
0.1621 0.4
0.1631 0.4
0.1641 0.4
0.165 0.4
0.166 0.4
0.167 0.4
0.168 0.4
0.1689 0.4
0.1699 0.4
0.1709 0.4
0.1719 0.4
0.1729 0.4
0.1738 0.4
0.1748 0.4
0.1758 0.4
0.1768 0.4
0.1777 0.4
0.1787 0.4
0.1797 0.4
0.1807 0.4
0.1816 0.4
0.1826 0.4
0.1836 0.4
0.1846 0.4
0.1855 0.4
0.1865 0.4
0.1875 0.4
0.1885 0.4
0.1895 0.4
0.1904 0.4
0.1914 0.4
0.1924 0.4
0.1934 0.4
0.1943 0.4
0.1953 0.4
0.1963 0.4
0.1973 0.4
0.1982 0.4
0.1992 0.4
0.2002 0.4
0.2012 0.4
0.2021 0.4
0.2031 0.4
0.2041 0.4
0.2051 0.4
0.2061 0.4
0.207 0.4
0.208 0.4
0.209 0.4
0.21 0.4
0.2109 0.4
0.2119 0.4
0.2129 0.4
0.2139 0.4
0.2148 0.4
0.2158 0.4
0.2168 0.4
0.2178 0.4
0.2188 0.4
0.2197 0.4
0.2207 0.4
0.2217 0.4
0.2227 0.4
0.2236 0.4
0.2246 0.4
0.2256 0.4
0.2266 0.4
0.2275 0.4
0.2285 0.4
0.2295 0.4
0.2305 0.4
0.2314 0.4
0.2324 0.4
0.2334 0.4
0.2344 0.4
0.2354 0.4
0.2363 0.4
0.2373 0.4
0.2383 0.4
0.2393 0.4
0.2402 0.4
0.2412 0.4
0.2422 0.4
0.2432 0.4
0.2441 0.4
0.2451 0.4
0.2461 0.4
0.2471 0.4
0.248 0.4
0.249 0.4
0.25 0.4
0.251 0.4
0.252 0.4
0.2529 0.4
0.2539 0.4
0.2549 0.4
0.2559 0.4
0.2568 0.4
0.2578 0.4
0.2588 0.4
0.2598 0.4
0.2607 0.4
0.2617 0.4
0.2627 0.4
0.2637 0.4
0.2646 0.4
0.2656 0.4
0.2666 0.4
0.2676 0.4
0.2686 0.4
0.2695 0.4
0.2705 0.4
0.2715 0.4
0.2725 0.4
0.2734 0.4
0.2744 0.4
0.2754 0.4
0.2764 0.4
0.2773 0.4
0.2783 0.4
0.2793 0.4
0.2803 0.4
0.2812 0.4
0.2822 0.4
0.2832 0.4
0.2842 0.4
0.2852 0.4
0.2861 0.4
0.2871 0.4
0.2881 0.4
0.2891 0.4
0.29 0.4
0.291 0.4
0.292 0.4
0.293 0.4
0.2939 0.4
0.2949 0.4
0.2959 0.4
0.2969 0.4
0.2979 0.4
0.2988 0.4
0.2998 0.4
0.3008 0.4
0.3018 0.4
0.3027 0.4
0.3037 0.4
0.3047 0.4
0.3057 0.4
0.3066 0.4
0.3076 0.4
0.3086 0.4
0.3096 0.4
0.3105 0.4
0.3115 0.4
0.3125 0.4
0.3135 0.4
0.3145 0.4
0.3154 0.4
0.3164 0.4
0.3174 0.4
0.3184 0.4
0.3193 0.4
0.3203 0.4
0.3213 0.4
0.3223 0.4
0.3232 0.4
0.3242 0.4
0.3252 0.4
0.3262 0.4
0.3271 0.4
0.3281 0.4
0.3291 0.4
0.3301 0.4
0.3311 0.4
0.332 0.4
0.333 0.4
0.334 0.4
0.335 0.4
0.3359 0.4
0.3369 0.4
0.3379 0.4
0.3389 0.4
0.3398 0.4
0.3408 0.4
0.3418 0.4
0.3428 0.4
0.3438 0.4
0.3447 0.4
0.3457 0.4
0.3467 0.4
0.3477 0.4
0.3486 0.4
0.3496 0.4
0.3506 0.4
0.3516 0.4
0.3525 0.4
0.3535 0.4
0.3545 0.4
0.3555 0.4
0.3564 0.4
0.3574 0.4
0.3584 0.4
0.3594 0.4
0.3604 0.4
0.3613 0.4
0.3623 0.4
0.3633 0.4
0.3643 0.4
0.3652 0.4
0.3662 0.4
0.3672 0.4
0.3682 0.4
0.3691 0.4
0.3701 0.4
0.3711 0.4
0.3721 0.4
0.373 0.4
0.374 0.4
0.375 0.4
0.376 0.4
0.377 0.4
0.3779 0.4
0.3789 0.4
0.3799 0.4
0.3809 0.4
0.3818 0.4
0.3828 0.4
0.3838 0.4
0.3848 0.4
0.3857 0.4
0.3867 0.4
0.3877 0.4
0.3887 0.4
0.3896 0.4
0.3906 0.4
0.3916 0.4
0.3926 0.4
0.3936 0.4
0.3945 0.4
0.3955 0.4
0.3965 0.4
0.3975 0.4
0.3984 0.4
0.3994 0.4
0.4004 0.4
0.4014 0.4
0.4023 0.4
0.4033 0.4
0.4043 0.4
0.4053 0.4
0.4062 0.4
0.4072 0.4
0.4082 0.4
0.4092 0.4
0.4102 0.4
0.4111 0.4
0.4121 0.4
0.4131 0.4
0.4141 0.4
0.415 0.4
0.416 0.4
0.417 0.4
0.418 0.4
0.4189 0.4
0.4199 0.4
0.4209 0.4
0.4219 0.4
0.4229 0.4
0.4238 0.4
0.4248 0.4
0.4258 0.4
0.4268 0.4
0.4277 0.4
0.4287 0.4
0.4297 0.4
0.4307 0.4
0.4316 0.4
0.4326 0.4
0.4336 0.4
0.4346 0.4
0.4355 0.4
0.4365 0.4
0.4375 0.4
0.4385 0.4
0.4395 0.4
0.4404 0.4
0.4414 0.4
0.4424 0.4
0.4434 0.4
0.4443 0.4
0.4453 0.4
0.4463 0.4
0.4473 0.4
0.4482 0.4
0.4492 0.4
0.4502 0.4
0.4512 0.4
0.4521 0.4
0.4531 0.4
0.4541 0.4
0.4551 0.4
0.4561 0.4
0.457 0.4
0.458 0.4
0.459 0.4
0.46 0.4
0.4609 0.4
0.4619 0.4
0.4629 0.4
0.4639 0.4
0.4648 0.4
0.4658 0.4
0.4668 0.4
0.4678 0.4
0.4688 0.4
0.4697 0.4
0.4707 0.4
0.4717 0.4
0.4727 0.4
0.4736 0.4
0.4746 0.4
0.4756 0.4
0.4766 0.4
0.4775 0.4
0.4785 0.4
0.4795 0.4
0.4805 0.4
0.4814 0.4
0.4824 0.4
0.4834 0.4
0.4844 0.4
0.4854 0.4
0.4863 0.4
0.4873 0.4
0.4883 0.4
0.4893 0.4
0.4902 0.4
0.4912 0.4
0.4922 0.4
0.4932 0.4
0.4941 0.4
0.4951 0.4
0.4961 0.4
0.4971 0.4
0.498 0.4
0.499 0.4
0.5 0.4
0.501 0.4
0.502 0.4
0.5029 0.4
0.5039 0.4
0.5049 0.4
0.5059 0.4
0.5068 0.4
0.5078 0.4
0.5088 0.4
0.5098 0.4
0.5107 0.4
0.5117 0.4
0.5127 0.4
0.5137 0.4
0.5146 0.4
0.5156 0.4
0.5166 0.4
0.5176 0.4
0.5186 0.4
0.5195 0.4
0.5205 0.4
0.5215 0.4
0.5225 0.4
0.5234 0.4
0.5244 0.4
0.5254 0.4
0.5264 0.4
0.5273 0.4
0.5283 0.4
0.5293 0.4
0.5303 0.4
0.5312 0.4
0.5322 0.4
0.5332 0.4
0.5342 0.4
0.5352 0.4
0.5361 0.4
0.5371 0.4
0.5381 0.4
0.5391 0.4
0.54 0.4
0.541 0.4
0.542 0.4
0.543 0.4
0.5439 0.4
0.5449 0.4
0.5459 0.4
0.5469 0.4
0.5479 0.4
0.5488 0.4
0.5498 0.4
0.5508 0.4
0.5518 0.4
0.5527 0.4
0.5537 0.4
0.5547 0.4
0.5557 0.4
0.5566 0.4
0.5576 0.4
0.5586 0.4
0.5596 0.4
0.5605 0.4
0.5615 0.4
0.5625 0.4
0.5635 0.4
0.5645 0.4
0.5654 0.4
0.5664 0.4
0.5674 0.4
0.5684 0.4
0.5693 0.4
0.5703 0.4
0.5713 0.4
0.5723 0.4
0.5732 0.4
0.5742 0.4
0.5752 0.4
0.5762 0.4
0.5771 0.4
0.5781 0.4
0.5791 0.4
0.5801 0.4
0.5811 0.4
0.582 0.4
0.583 0.4
0.584 0.4
0.585 0.4
0.5859 0.4
0.5869 0.4
